# [No.1] construct_wrapper.112
# In file C:\Users\11314\AppData\Local\Temp\ipykernel_10100\3026731931.py(62)/
funcgraph fg_112(
        %para1 : Tensor(F64)[4, 128]    # q
    %9 = Primitive::MakeTuple{prim_type=1}(%para4, %para5, %para6, %para7, %para8, %para9, %para10, %para11, %para12, %para13, %para14, %para15, %para16, %para17, %para18, %para19, %para20, %para21, %para22, %para23, %para24, %para25, %para26, %para27, %para28, %para29, %para30, %para31, %para32, %para33, %para34, %para35, %para36, %para37, %para38, %para39, %para40, %para41, %para42, %para43, %para44, %para45, %para46, %para47, %para48, %para49, %para50, %para51, %para52, %para53, %para54, %para55, %para56, %para57, %para58, %para59, %para60, %para61, %para62, %para63, %para64, %para65, %para66, %para67, %para68, %para69, %para70, %para71, %para72, %para73, %para74, %para75, %para76, %para77, %para78, %para79, %para80, %para81, %para82, %para83, %para84, %para85, %para86, %para87, %para88, %para89, %para90, %para91, %para92, %para93, %para94, %para95, %para96, %para97, %para98, %para99, %para100, %para101, %para102, %para103, %para104, %para105, %para106, %para107, %para108, %para109, %para110, %para111, %para112, %para113, %para114, %para115, %para116, %para117, %para118, %para119, %para120, %para121, %para122, %para123, %para124, %para125, %para126, %para127, %para128, %para129, %para130, %para131, %para132, %para133, %para134, %para135, %para136, %para137, %para138, %para139, %para140, %para141, %para142, %para143, %para144, %para145, %para146, %para147, %para148, %para149, %para150, %para151, %para152, %para153, %para154, %para155, %para156, %para157, %para158, %para159, %para160, %para161, %para162, %para163, %para164, %para165, %para166, %para167, %para168, %para169, %para170, %para171, %para172, %para173, %para174, %para175, %para176, %para177, %para178, %para179, %para180, %para181, %para182, %para183, %para184, %para185, %para186, %para187, %para188, %para189, %para190, %para191, %para192, %para193, %para194, %para195, %para196, %para197, %para198, %para199, %para200, %para201, %para202, %para203, %para204, %para205, %para206, %para207, %para208, %para209, %para210, %para211, %para212, %para213, %para214, %para215, %para216, %para217, %para218, %para219, %para220)    #(Ref[Tensor(F32)][64, 3, 3, 3], Ref[Tensor(F32)][64], Ref[Tensor(F32)][64], Ref[Tensor(F32)][128, 64, 3, 3], Ref[Tensor(F32)][128], Ref[Tensor(F32)][128], Ref[Tensor(F32)][256, 128, 3, 3], Ref[Tensor(F32)][256], Ref[Tensor(F32)][256], Ref[Tensor(F32)][768, 256, 3, 3], Ref[Tensor(F32)][30522, 768], Ref[Tensor(F32)][512, 768], Ref[Tensor(F32)][2, 768], Ref[Tensor(F32)][768], Ref[Tensor(F32)][768], Ref[Tensor(F32)][768, 768], Ref[Tensor(F32)][768], Ref[Tensor(F32)][768, 768], Ref[Tensor(F32)][768], Ref[Tensor(F32)][768, 768], Ref[Tensor(F32)][768], Ref[Tensor(F32)][768, 768], Ref[Tensor(F32)][768], Ref[Tensor(F32)][768], Ref[Tensor(F32)][768], Ref[Tensor(F32)][3072, 768], Ref[Tensor(F32)][3072], Ref[Tensor(F32)][768, 3072], Ref[Tensor(F32)][768], Ref[Tensor(F32)][768], Ref[Tensor(F32)][768], Ref[Tensor(F32)][768, 768], Ref[Tensor(F32)][768], Ref[Tensor(F32)][768, 768], Ref[Tensor(F32)][768], Ref[Tensor(F32)][768, 768], Ref[Tensor(F32)][768], Ref[Tensor(F32)][768, 768], Ref[Tensor(F32)][768], Ref[Tensor(F32)][768], Ref[Tensor(F32)][768], Ref[Tensor(F32)][3072, 768], Ref[Tensor(F32)][3072], Ref[Tensor(F32)][768, 3072], Ref[Tensor(F32)][768], Ref[Tensor(F32)][768], Ref[Tensor(F32)][768], Ref[Tensor(F32)][768, 768], Ref[Tensor(F32)][768], Ref[Tensor(F32)][768, 768], Ref[Tensor(F32)][768], Ref[Tensor(F32)][768, 768], Ref[Tensor(F32)][768], Ref[Tensor(F32)][768, 768], Ref[Tensor(F32)][768], Ref[Tensor(F32)][768], Ref[Tensor(F32)][768], Ref[Tensor(F32)][3072, 768], Ref[Tensor(F32)][3072], Ref[Tensor(F32)][768, 3072], Ref[Tensor(F32)][768], Ref[Tensor(F32)][768], Ref[Tensor(F32)][768], Ref[Tensor(F32)][768, 768], Ref[Tensor(F32)][768], Ref[Tensor(F32)][768, 768], Ref[Tensor(F32)][768], Ref[Tensor(F32)][768, 768], Ref[Tensor(F32)][768], Ref[Tensor(F32)][768, 768], Ref[Tensor(F32)][768], Ref[Tensor(F32)][768], Ref[Tensor(F32)][768], Ref[Tensor(F32)][3072, 768], Ref[Tensor(F32)][3072], Ref[Tensor(F32)][768, 3072], Ref[Tensor(F32)][768], Ref[Tensor(F32)][768], Ref[Tensor(F32)][768], Ref[Tensor(F32)][768, 768], Ref[Tensor(F32)][768], Ref[Tensor(F32)][768, 768], Ref[Tensor(F32)][768], Ref[Tensor(F32)][768, 768], Ref[Tensor(F32)][768], Ref[Tensor(F32)][768, 768], Ref[Tensor(F32)][768], Ref[Tensor(F32)][768], Ref[Tensor(F32)][768], Ref[Tensor(F32)][3072, 768], Ref[Tensor(F32)][3072], Ref[Tensor(F32)][768, 3072], Ref[Tensor(F32)][768], Ref[Tensor(F32)][768], Ref[Tensor(F32)][768], Ref[Tensor(F32)][768, 768], Ref[Tensor(F32)][768], Ref[Tensor(F32)][768, 768], Ref[Tensor(F32)][768], Ref[Tensor(F32)][768, 768], Ref[Tensor(F32)][768], Ref[Tensor(F32)][768, 768], Ref[Tensor(F32)][768], Ref[Tensor(F32)][768], Ref[Tensor(F32)][768], Ref[Tensor(F32)][3072, 768], Ref[Tensor(F32)][3072], Ref[Tensor(F32)][768, 3072], Ref[Tensor(F32)][768], Ref[Tensor(F32)][768], Ref[Tensor(F32)][768], Ref[Tensor(F32)][768, 768], Ref[Tensor(F32)][768], Ref[Tensor(F32)][768, 768], Ref[Tensor(F32)][768], Ref[Tensor(F32)][768, 768], Ref[Tensor(F32)][768], Ref[Tensor(F32)][768, 768], Ref[Tensor(F32)][768], Ref[Tensor(F32)][768], Ref[Tensor(F32)][768], Ref[Tensor(F32)][3072, 768], Ref[Tensor(F32)][3072], Ref[Tensor(F32)][768, 3072], Ref[Tensor(F32)][768], Ref[Tensor(F32)][768], Ref[Tensor(F32)][768], Ref[Tensor(F32)][768, 768], Ref[Tensor(F32)][768], Ref[Tensor(F32)][768, 768], Ref[Tensor(F32)][768], Ref[Tensor(F32)][768, 768], Ref[Tensor(F32)][768], Ref[Tensor(F32)][768, 768], Ref[Tensor(F32)][768], Ref[Tensor(F32)][768], Ref[Tensor(F32)][768], Ref[Tensor(F32)][3072, 768], Ref[Tensor(F32)][3072], Ref[Tensor(F32)][768, 3072], Ref[Tensor(F32)][768], Ref[Tensor(F32)][768], Ref[Tensor(F32)][768], Ref[Tensor(F32)][768, 768], Ref[Tensor(F32)][768], Ref[Tensor(F32)][768, 768], Ref[Tensor(F32)][768], Ref[Tensor(F32)][768, 768], Ref[Tensor(F32)][768], Ref[Tensor(F32)][768, 768], Ref[Tensor(F32)][768], Ref[Tensor(F32)][768], Ref[Tensor(F32)][768], Ref[Tensor(F32)][3072, 768], Ref[Tensor(F32)][3072], Ref[Tensor(F32)][768, 3072], Ref[Tensor(F32)][768], Ref[Tensor(F32)][768], Ref[Tensor(F32)][768], Ref[Tensor(F32)][768, 768], Ref[Tensor(F32)][768], Ref[Tensor(F32)][768, 768], Ref[Tensor(F32)][768], Ref[Tensor(F32)][768, 768], Ref[Tensor(F32)][768], Ref[Tensor(F32)][768, 768], Ref[Tensor(F32)][768], Ref[Tensor(F32)][768], Ref[Tensor(F32)][768], Ref[Tensor(F32)][3072, 768], Ref[Tensor(F32)][3072], Ref[Tensor(F32)][768, 3072], Ref[Tensor(F32)][768], Ref[Tensor(F32)][768], Ref[Tensor(F32)][768], Ref[Tensor(F32)][768, 768], Ref[Tensor(F32)][768], Ref[Tensor(F32)][768, 768], Ref[Tensor(F32)][768], Ref[Tensor(F32)][768, 768], Ref[Tensor(F32)][768], Ref[Tensor(F32)][768, 768], Ref[Tensor(F32)][768], Ref[Tensor(F32)][768], Ref[Tensor(F32)][768], Ref[Tensor(F32)][3072, 768], Ref[Tensor(F32)][3072], Ref[Tensor(F32)][768, 3072], Ref[Tensor(F32)][768], Ref[Tensor(F32)][768], Ref[Tensor(F32)][768], Ref[Tensor(F32)][768, 768], Ref[Tensor(F32)][768], Ref[Tensor(F32)][768, 768], Ref[Tensor(F32)][768], Ref[Tensor(F32)][768, 768], Ref[Tensor(F32)][768], Ref[Tensor(F32)][768, 768], Ref[Tensor(F32)][768], Ref[Tensor(F32)][768], Ref[Tensor(F32)][768], Ref[Tensor(F32)][3072, 768], Ref[Tensor(F32)][3072], Ref[Tensor(F32)][768, 3072], Ref[Tensor(F32)][768], Ref[Tensor(F32)][768], Ref[Tensor(F32)][768], Ref[Tensor(F32)][768, 768], Ref[Tensor(F32)][768], Ref[Tensor(F32)][512, 768], Ref[Tensor(F32)][512], Ref[Tensor(F32)][512, 768], Ref[Tensor(F32)][512], Ref[Tensor(F32)][1, 512], Ref[Tensor(F32)][1], Ref[Tensor(F32)][17625, 768], Ref[Tensor(F32)][17625]) #scope: Default/loss_train_net-TrainOneStepCell
      # In file C:\Users\11314\AppData\Local\Temp\ipykernel_10100\3026731931.py(41)/#[CNode]128
    %10 = DoSignaturePrimitive::S-Prim-grad{prim_type=1}(%8, %9)    #(Undefined, Undefined) #scope: Default
      # In file C:\Users\11314\AppData\Local\Temp\ipykernel_10100\3026731931.py(44)/#grads
    %11 = %10(%para661, %para662, %para663, %7)    #(Tensor(F64)[4, 128], Tensor(F64)[4, 17625], Tensor(F64)[4, 3, 224, 224], Undefined) #scope: Default
      # In file C:\Users\11314\AppData\Local\Temp\ipykernel_10100\3026731931.py(44)/#grads
    %12 = FuncGraph::fg_129(%11)    #(Undefined)    # fg_129=construct.129 #scope: Default/loss_train_net-TrainOneStepCell
      # In file C:\Users\11314\AppData\Local\Temp\ipykernel_10100\3026731931.py(45)/#[CNode]130
    %13 = DoSignaturePrimitive::S-Prim-Depend{prim_type=1}[side_effect_propagate=I64(1)](%1, %12)    #(Undefined, Undefined) #scope: Default/loss_train_net-TrainOneStepCell
      # In file C:\Users\11314\AppData\Local\Temp\ipykernel_10100\3026731931.py(45)/#[CNode]131
    Primitive::Return{prim_type=1}(%13)    #(Undefined) #scope: Default/loss_train_net-TrainOneStepCell
      # In file C:\Users\11314\AppData\Local\Temp\ipykernel_10100\3026731931.py(45)/#[CNode]132
}
# order:
#   1: construct.114:loss{[0]: ValueNode<FuncGraph> construct.115, [1]: q, [2]: a, [3]: img}
#   2: construct.114:[CNode]123{[0]: ValueNode<ClassType> class 'mindspore.ops.operations.array_ops.Fill'}
#   3: construct.114:[CNode]124{[0]: ValueNode<ClassType> class 'mindspore.ops.operations.array_ops.DType'}
#   4: construct.114:[CNode]125{[0]: [CNode]124, [1]: loss}
#   5: construct.114:[CNode]126{[0]: ValueNode<ClassType> class 'mindspore.ops.operations.array_ops.Shape'}
#   6: construct.114:[CNode]127{[0]: [CNode]126, [1]: loss}
#   7: construct.114:sens{[0]: [CNode]123, [1]: [CNode]125, [2]: [CNode]127, [3]: ValueNode<FP32Imm> 1.000000}
#   8: construct.114:grads{[0]: ValueNode<UnpackGraphPrimitive> UnpackGraph, [1]: ValueNode<FuncGraph> construct.115, [2]: q, [3]: a, [4]: img, [5]: sens}
#   9: construct.114:grads{[0]: ValueNode<DoSignaturePrimitive> S-Prim-grad, [1]: grads, [2]: [CNode]128}
#  10: construct.114:grads{[0]: grads, [1]: q, [2]: a, [3]: img, [4]: sens}
#  11: construct.114:[CNode]130{[0]: ValueNode<FuncGraph> construct.129, [1]: grads}
#  12: construct.114:[CNode]131{[0]: ValueNode<DoSignaturePrimitive> S-Prim-Depend, [1]: loss, [2]: [CNode]130}
#  13: construct.114:[CNode]132{[0]: ValueNode<Primitive> Return, [1]: [CNode]131}


# [No.4] construct.115
# In file C:\Users\11314\AppData\Local\Temp\ipykernel_10100\3026731931.py(24)/
funcgraph fg_115(
        %para664 : Tensor(F64)[4, 128]    # q
        , %para665 : Tensor(F64)[4, 17625]    # a
        , %para666 : Tensor(F64)[4, 3, 224, 224]    # img
    ) {
    %1 : NoneType = FuncGraph::fg_119(%para664, %para666)    #(Tensor(F64)[4, 128], Tensor(F64)[4, 3, 224, 224])    # fg_119=construct.119 #scope: Default/loss_net-WithLossCell
      # In file C:\Users\11314\AppData\Local\Temp\ipykernel_10100\3026731931.py(25)/#out

#------------------------> 3
    %2 = FuncGraph::fg_116(%1, %para665)    #(NoneType, Tensor(F64)[4, 17625])    # fg_116=construct.116 #scope: Default/loss_net-WithLossCell
      # In file C:\Users\11314\AppData\Local\Temp\ipykernel_10100\3026731931.py(26)/#loss
    Primitive::Return{prim_type=1}(%2)    #(Undefined) #scope: Default/loss_net-WithLossCell
      # In file C:\Users\11314\AppData\Local\Temp\ipykernel_10100\3026731931.py(27)/#[CNode]133
}
# order:
#   1: construct.115:out{[0]: ValueNode<FuncGraph> construct.119, [1]: q, [2]: img}
#   2: construct.115:loss{[0]: ValueNode<FuncGraph> construct.116, [1]: out, [2]: a}
#   3: construct.115:[CNode]133{[0]: ValueNode<Primitive> Return, [1]: loss}


# [No.5] construct.116
# In file C:\Users\11314\AppData\Local\Temp\ipykernel_10100\3026731931.py(7)/
funcgraph fg_116(
        %para667 : NoneType    # logits
        , %para668 : Tensor(F64)[4, 17625]    # label
    ) {

#------------------------> 4
    %1 = ClassType(%para667)    #(NoneType) #scope: Default/loss_net-WithLossCell/_loss_fn-NLLLoss
      # In file C:\Users\11314\AppData\Local\Temp\ipykernel_10100\3026731931.py(8)/#[CNode]134
    %2 = Primitive::getattr{prim_type=1}(%1, "astype")    #(Undefined, Undefined) #scope: Default/loss_net-WithLossCell/_loss_fn-NLLLoss
      # In file C:\Users\11314\AppData\Local\Temp\ipykernel_10100\3026731931.py(8)/#[CNode]135
    %3 = %2(F64)    #(Undefined) #scope: Default/loss_net-WithLossCell/_loss_fn-NLLLoss
      # In file C:\Users\11314\AppData\Local\Temp\ipykernel_10100\3026731931.py(8)/#logits
    %4 = DoSignaturePrimitive::S-Prim-LogSoftmax{prim_type=1}[axis=I64(0)](%3)    #(Undefined) #scope: Default/loss_net-WithLossCell/_loss_fn-NLLLoss
      # In file C:\Users\11314\AppData\Local\Temp\ipykernel_10100\3026731931.py(10)/#[CNode]136
    %5 = DoSignaturePrimitive::S-Prim-negative{prim_type=1}(%4)    #(Undefined) #scope: Default/loss_net-WithLossCell/_loss_fn-NLLLoss
      # In file C:\Users\11314\AppData\Local\Temp\ipykernel_10100\3026731931.py(10)/#nll
    %6 = ClassType(%para668)    #(Tensor(F64)[4, 17625]) #scope: Default/loss_net-WithLossCell/_loss_fn-NLLLoss
      # In file C:\Users\11314\AppData\Local\Temp\ipykernel_10100\3026731931.py(9)/#[CNode]137
    %7 = Primitive::getattr{prim_type=1}(%6, "astype")    #(Undefined, Undefined) #scope: Default/loss_net-WithLossCell/_loss_fn-NLLLoss
      # In file C:\Users\11314\AppData\Local\Temp\ipykernel_10100\3026731931.py(9)/#[CNode]138
    %8 = %7(F64)    #(Undefined) #scope: Default/loss_net-WithLossCell/_loss_fn-NLLLoss
      # In file C:\Users\11314\AppData\Local\Temp\ipykernel_10100\3026731931.py(9)/#label
    %9 = DoSignaturePrimitive::S-Prim-mul{prim_type=1}(%5, %8)    #(Undefined, Undefined) #scope: Default/loss_net-WithLossCell/_loss_fn-NLLLoss
      # In file C:\Users\11314\AppData\Local\Temp\ipykernel_10100\3026731931.py(11)/#[CNode]139
    %10 = DoSignaturePrimitive::S-Prim-div{prim_type=1}(%9, I64(10))    #(Undefined, Undefined) #scope: Default/loss_net-WithLossCell/_loss_fn-NLLLoss
      # In file C:\Users\11314\AppData\Local\Temp\ipykernel_10100\3026731931.py(11)/#[CNode]140
    %11 = DoSignaturePrimitive::S-Prim-MakeTuple{prim_type=1}(%10)    #(Undefined) #scope: Default/loss_net-WithLossCell/_loss_fn-NLLLoss
      # In file C:\Users\11314\AppData\Local\Temp\ipykernel_10100\3026731931.py(11)/#[CNode]141
    %12 = DoSignaturePrimitive::S-Prim-MakeTuple{prim_type=1}("axis")    #(Undefined) #scope: Default/loss_net-WithLossCell/_loss_fn-NLLLoss
      # In file C:\Users\11314\AppData\Local\Temp\ipykernel_10100\3026731931.py(11)/#[CNode]142
    %13 = DoSignaturePrimitive::S-Prim-MakeTuple{prim_type=1}(I64(1))    #(Undefined) #scope: Default/loss_net-WithLossCell/_loss_fn-NLLLoss
      # In file C:\Users\11314\AppData\Local\Temp\ipykernel_10100\3026731931.py(11)/#[CNode]143
    %14 = DoSignaturePrimitive::S-Prim-make_dict{prim_type=1}(%12, %13)    #(Undefined, Undefined) #scope: Default/loss_net-WithLossCell/_loss_fn-NLLLoss
      # In file C:\Users\11314\AppData\Local\Temp\ipykernel_10100\3026731931.py(11)/#[CNode]144
    %15 = UnpackCall::unpack_call(DoSignaturePrimitive::S-Prim-ReduceSum{prim_type=1}[input_names=["input_x", "axis"], output_names=["y"], keep_dims=Bool(0)], %11, %14)    #(Undefined, Undefined, Undefined) #scope: Default/loss_net-WithLossCell/_loss_fn-NLLLoss
      # In file C:\Users\11314\AppData\Local\Temp\ipykernel_10100\3026731931.py(11)/#[CNode]145
    %16 = Primitive::getattr{prim_type=1}(%15, "mean")    #(Undefined, Undefined) #scope: Default/loss_net-WithLossCell/_loss_fn-NLLLoss
      # In file C:\Users\11314\AppData\Local\Temp\ipykernel_10100\3026731931.py(11)/#[CNode]146
    %17 = %16() #scope: Default/loss_net-WithLossCell/_loss_fn-NLLLoss
      # In file C:\Users\11314\AppData\Local\Temp\ipykernel_10100\3026731931.py(11)/#loss
    %18 = FuncGraph::fg_147(%17)    #(Undefined)    # fg_147=get_loss.147 #scope: Default/loss_net-WithLossCell/_loss_fn-NLLLoss
      # In file C:\Users\11314\AppData\Local\Temp\ipykernel_10100\3026731931.py(12)/#[CNode]148
    Primitive::Return{prim_type=1}(%18)    #(Undefined) #scope: Default/loss_net-WithLossCell/_loss_fn-NLLLoss
      # In file C:\Users\11314\AppData\Local\Temp\ipykernel_10100\3026731931.py(12)/#[CNode]149
}
# order:
#   1: construct.116:[CNode]134{[0]: ValueNode<ClassType> class 'mindspore.common.tensor.Tensor', [1]: logits}
#   2: construct.116:[CNode]135{[0]: ValueNode<Primitive> getattr, [1]: [CNode]134, [2]: ValueNode<StringImm> astype}
#   3: construct.116:logits{[0]: [CNode]135, [1]: ValueNode<Float> Float64}
#   4: construct.116:[CNode]137{[0]: ValueNode<ClassType> class 'mindspore.common.tensor.Tensor', [1]: label}
#   5: construct.116:[CNode]138{[0]: ValueNode<Primitive> getattr, [1]: [CNode]137, [2]: ValueNode<StringImm> astype}
#   6: construct.116:label{[0]: [CNode]138, [1]: ValueNode<Float> Float64}
#   7: construct.116:[CNode]136{[0]: ValueNode<DoSignaturePrimitive> S-Prim-LogSoftmax, [1]: logits}
#   8: construct.116:nll{[0]: ValueNode<DoSignaturePrimitive> S-Prim-negative, [1]: [CNode]136}
#   9: construct.116:[CNode]139{[0]: ValueNode<DoSignaturePrimitive> S-Prim-mul, [1]: nll, [2]: label}
#  10: construct.116:[CNode]140{[0]: ValueNode<DoSignaturePrimitive> S-Prim-div, [1]: [CNode]139, [2]: ValueNode<Int64Imm> 10}
#  11: construct.116:[CNode]141{[0]: ValueNode<DoSignaturePrimitive> S-Prim-MakeTuple, [1]: [CNode]140}
#  12: construct.116:[CNode]142{[0]: ValueNode<DoSignaturePrimitive> S-Prim-MakeTuple, [1]: ValueNode<StringImm> axis}
#  13: construct.116:[CNode]143{[0]: ValueNode<DoSignaturePrimitive> S-Prim-MakeTuple, [1]: ValueNode<Int64Imm> 1}
#  14: construct.116:[CNode]144{[0]: ValueNode<DoSignaturePrimitive> S-Prim-make_dict, [1]: [CNode]142, [2]: [CNode]143}
#  15: construct.116:[CNode]145{[0]: ValueNode<UnpackCall> unpack_call, [1]: ValueNode<DoSignaturePrimitive> S-Prim-ReduceSum, [2]: [CNode]141, [3]: [CNode]144}
#  16: construct.116:[CNode]146{[0]: ValueNode<Primitive> getattr, [1]: [CNode]145, [2]: ValueNode<StringImm> mean}
#  17: construct.116:loss{[0]: [CNode]146}
#  18: construct.116:[CNode]148{[0]: ValueNode<FuncGraph> get_loss.147, [1]: loss}
#  19: construct.116:[CNode]149{[0]: ValueNode<Primitive> Return, [1]: [CNode]148}


#===============================================================================
# num of function graphs in stack: 5
